drs_url,filename,filesize_bytes,description
drs://fairplex.amp-pd-example.org/abc123,sample1.bam,100000,Patient 001 alignment file
drs://fairplex.amp-pd-example.org/def456,sample2.bam,95000,Patient 002 alignment file
drs://fairplex.amp-pd-example.org/ghi789,sample3.bam,110000,Patient 003 alignment file
drs://fairplex.amp-pd-example.org/jkl012,sample4.bam,102400,Patient 004 alignment file
drs://fairplex.amp-pd-example.org/mno345,sample5.bam,98500,Patient 005 alignment file
drs://fairplex.amp-pd-example.org/pqr678,sample6.bam,107000,Patient 006 alignment file
drs://fairplex.amp-pd-example.org/stu901,sample7.bam,99000,Patient 007 alignment file
drs://fairplex.amp-pd-example.org/vwx234,sample8.bam,103500,Patient 008 alignment file
drs://fairplex.amp-pd-example.org/yz5678,sample9.bam,97000,Patient 009 alignment file
drs://fairplex.amp-pd-example.org/abc999,sample10.bam,101000,Patient 010 alignment file
drs://fairplex.amp-pd-example.org/def888,sample11.bam,105000,Patient 011 alignment file
drs://fairplex.amp-pd-example.org/ghi777,sample12.bam,92000,Patient 012 alignment file
drs://fairplex.amp-pd-example.org/jkl666,sample13.bam,108800,Patient 013 alignment file
drs://fairplex.amp-pd-example.org/mno555,sample14.bam,98000,Patient 014 alignment file
drs://fairplex.amp-pd-example.org/pqr444,sample15.bam,104200,Patient 015 alignment file
drs://fairplex.amp-pd-example.org/stu333,sample16.bam,100500,Patient 016 alignment file
drs://fairplex.amp-pd-example.org/vwx222,sample17.bam,96000,Patient 017 alignment file
